,SKILL_NAME,2018,2023,GROWTH,GROUP
23,Artificial Intelligence,3213.0,7328.0,2.280734516028634,AI/ML
170,Generative Adversarial Networks,512.0,1021.0,1.994140625,AI/ML
46,Boosting,428.0,744.0,1.7383177570093458,AI/ML
57,Chatbot,182.0,310.0,1.7032967032967032,AI/ML
225,Machine Learning,5280.0,6537.0,1.2380681818181818,AI/ML
300,Scikit-Learn (Python Package),249.0,307.0,1.2329317269076305,AI/ML
343,TensorFlow,503.0,526.0,1.0457256461232605,AI/ML
288,Reinforcement Learning,147.0,153.0,1.0408163265306123,AI/ML
202,Keras (Neural Network Library),146.0,141.0,0.9657534246575342,AI/ML
226,Machine Learning Algorithms,407.0,372.0,0.914004914004914,AI/ML
290,Renewable Energy,867.0,4386.0,5.0588235294117645,Green
364,Waste Removal,108.0,397.0,3.675925925925926,Green
249,Nuclear Power,269.0,930.0,3.45724907063197,Green
251,Nuclear Safety,188.0,580.0,3.0851063829787235,Green
106,Energy Consumption,293.0,851.0,2.9044368600682593,Green
142,Environmental Permitting,270.0,766.0,2.837037037037037,Green
152,Environmentalism,308.0,809.0,2.6266233766233764,Green
257,One-Line Diagram,125.0,323.0,2.584,Green
104,Energy Conservation,202.0,500.0,2.4752475247524752,Green
286,Recycling,139.0,344.0,2.4748201438848922,Green
